Genre,Average_Loudness,Average_Mode,Average_Speechiness,Average_Acousticness,Average_Instrumentalness,Average_Liveness ,Average_Valence,Average_Tempo,Average_Duration(min)
edm,-5.485341563786008,0.5473251028806584,0.08085452674897119,0.09317350308641975,0.17123801549382717,0.18778456790123457,0.40857798353909464,123.9115925925926,3.761879355281207
latin,-6.060767676767675,0.5883838383838383,0.09611439393939394,0.17967637449494947,0.05177285330808081,0.17781742424242425,0.567634595959596,117.78497474747472,3.5277584175084176
pop,-6.095142574257426,0.5366336633663367,0.0767259405940594,0.18893398423762378,0.04988006867326733,0.1708528712871287,0.4924889108910891,118.29367524752475,3.588100792079208
r&b,-7.674685344827586,0.521551724137931,0.14475387931034484,0.30578522629310345,0.036085273297413796,0.16823340517241378,0.441276724137931,115.15019827586208,3.7233838721264365
rap,-6.70086393088553,0.5226781857451404,0.2189386609071274,0.20443119654427647,0.052392329805615555,0.18443801295896328,0.4240470842332613,123.8860453563715,3.444240244780418
rock,-7.042249999999999,0.5775862068965517,0.06494655172413792,0.17418050905172414,0.11789315258620689,0.20131551724137933,0.42519396551724137,129.68099137931034,4.213990086206897
